Total Wait Time,Cars Processed,Average Wait Time At An Intersection,Number Of Journeys Processed,Total Journey Time,Average Journey Time,Recording Duration,,,
1079572,33536,32.19143607,1521,410872,270.1328074,900,,,
,,,,,,,,,
Intersection ID,Number Of Segments,Number Of Outgoing One Way Segments,Number Of Incoming One Way Segments,Total Time Waiting At Intersection,Number Of Vehicles Processed,Average Wait Time At Intersection,Rounded,Cols,Occurences
52,4,0,0,35986,440,81.78636364,82,0,0
198,3,0,0,217,34,6.382352941,6,3,1
247,4,0,0,31703,420,75.48333333,75,5,6
287,4,0,0,22920,348,65.86206897,66,6,2
822,3,0,0,2676,223,12,12,7,6
1297,4,0,0,17706,242,73.16528926,73,8,5
1870,3,0,0,3161,284,11.13028169,11,9,3
2167,3,0,0,13924,344,40.47674419,40,10,5
2414,4,0,0,19969,601,33.22628952,33,11,8
2743,3,0,0,11323,535,21.16448598,21,12,9
3243,3,0,0,1774,167,10.62275449,11,13,3
3573,3,0,0,7582,314,24.14649682,24,15,3
3660,3,0,0,3138,233,13.46781116,13,16,1
3892,4,0,0,14665,304,48.24013158,48,17,5
3931,3,0,0,4189,241,17.38174274,17,18,1
4105,4,0,0,14831,325,45.63384615,46,21,4
4196,3,0,0,684,107,6.392523364,6,23,1
4354,4,0,0,3222,125,25.776,26,24,3
4573,3,0,0,11846,473,25.04439746,25,25,2
4648,3,0,0,4023,357,11.26890756,11,26,2
4800,3,0,0,382,113,3.380530973,3,27,2
5277,4,0,0,19261,340,56.65,57,28,2
5381,3,0,0,918,115,7.982608696,8,30,2
5515,3,0,0,12615,394,32.0177665,32,31,1
5601,3,0,0,7921,136,58.24264706,58,32,1
5663,4,0,0,18367,318,57.75786164,58,33,3
6781,3,0,0,5745,276,20.81521739,21,34,2
6796,3,0,0,1225,149,8.22147651,8,36,1
6909,3,0,0,1556,145,10.73103448,11,39,2
7139,3,0,0,2037,156,13.05769231,13,40,2
7730,4,0,0,9703,148,65.56081081,66,41,1
8211,3,0,0,589,50,11.78,12,42,1
9115,3,0,0,1320,101,13.06930693,13,43,1
9137,3,0,0,1832,168,10.9047619,11,45,2
9795,3,0,0,2812,335,8.394029851,8,46,1
9831,3,0,0,14,2,7,7,47,1
10335,4,0,0,10009,166,60.29518072,60,48,2
10340,3,0,0,9916,157,63.15923567,63,49,2
10415,3,0,0,13633,454,30.02863436,30,51,3
10437,4,0,0,17713,397,44.61712846,45,53,1
10570,3,0,0,34,2,17,17,54,1
10650,3,0,0,36,2,18,18,57,2
10661,3,0,0,1978,165,11.98787879,12,58,2
11135,3,0,0,252,56,4.5,5,60,4
11279,3,0,0,3312,279,11.87096774,12,63,1
11421,4,0,0,8746,254,34.43307087,34,64,1
11773,3,0,0,13843,325,42.59384615,43,65,1
11824,4,0,0,2939,121,24.2892562,24,66,2
11938,3,0,0,17360,438,39.6347032,40,69,1
12182,3,0,0,5,1,5,5,70,1
12811,3,0,0,9647,344,28.04360465,28,71,1
13403,4,0,0,6516,167,39.01796407,39,73,1
13952,4,0,0,16374,275,59.54181818,60,75,1
14397,3,0,0,2996,198,15.13131313,15,82,1
14946,3,0,0,94,18,5.222222222,5,84,1
15052,4,0,0,29657,352,84.25284091,84,122,1
15163,4,0,0,20008,368,54.36956522,54,#VALUE!,
15614,3,0,0,5410,450,12.02222222,12,,
15712,4,0,0,9590,199,48.19095477,48,,
15854,3,0,0,8346,334,24.98802395,25,,
15922,3,0,0,8217,1195,6.876150628,7,,
15936,3,0,0,4273,208,20.54326923,21,,
16158,4,0,0,7233,239,30.26359833,30,,
16415,3,0,0,1635,182,8.983516484,9,,
16582,3,0,0,1262,148,8.527027027,9,,
17406,3,0,0,1342,115,11.66956522,12,,
17422,4,0,0,8152,160,50.95,51,,
17646,4,0,0,15754,222,70.96396396,71,,
17656,4,0,0,6810,173,39.36416185,39,,
17668,4,0,0,12333,295,41.80677966,42,,
17691,4,0,0,26907,421,63.91211401,64,,
17783,4,0,0,24713,480,51.48541667,51,,
17846,3,0,0,1221,118,10.34745763,10,,
17887,4,0,0,11026,183,60.25136612,60,,
18061,3,0,0,4351,107,40.6635514,41,,
18641,4,0,0,31426,597,52.639866,53,,
18796,3,0,0,1978,279,7.089605735,7,,
19923,3,0,0,17864,1029,17.36054422,17,,
20214,3,0,0,5664,249,22.74698795,23,,
20316,4,0,0,1492,56,26.64285714,27,,
20477,3,0,0,19549,285,68.59298246,69,,
20833,3,0,0,9147,253,36.1541502,36,,
21234,3,0,0,1306,149,8.765100671,9,,
21425,3,0,0,1238,176,7.034090909,7,,
21472,3,0,0,5030,161,31.24223602,31,,
21647,3,0,0,70,6,11.66666667,12,,
21768,3,0,0,890,88,10.11363636,10,,
21913,3,0,0,1500,122,12.29508197,12,,
22323,3,0,0,11718,344,34.06395349,34,,
23010,3,0,0,8542,327,26.12232416,26,,
23082,3,0,0,5549,169,32.83431953,33,,
23178,3,0,0,15030,215,69.90697674,70,,
23551,4,0,0,16263,331,49.13293051,49,,
23912,3,0,0,9323,155,60.1483871,60,,
24094,3,0,0,2284,235,9.719148936,10,,
24764,3,0,0,675,61,11.06557377,11,,
25064,3,0,0,13,2,6.5,7,,
25098,3,0,0,1500,293,5.119453925,5,,
25241,3,0,0,0,0,NaN,#VALUE!,,
25631,3,0,0,8069,467,17.27837259,17,,
25817,3,0,0,2210,225,9.822222222,10,,
26135,3,0,0,1364,272,5.014705882,5,,
26375,3,0,0,1107,101,10.96039604,11,,
26475,4,0,0,15084,336,44.89285714,45,,
26544,3,0,0,125,12,10.41666667,10,,
26572,3,0,0,5801,374,15.51069519,16,,
27291,3,0,0,11230,345,32.55072464,33,,
28060,3,0,0,3802,333,11.41741742,11,,
28076,4,0,0,26465,217,121.9585253,122,,
28253,3,0,0,2218,288,7.701388889,8,,
28446,3,0,0,6994,262,26.69465649,27,,
28471,3,0,0,8741,426,20.51877934,21,,
28563,3,0,0,8260,554,14.90974729,15,,
28654,3,0,0,3588,299,12,12,,
28705,3,0,0,1890,226,8.362831858,8,,
28763,3,0,0,6544,233,28.08583691,28,,
29612,3,0,0,12730,871,14.61538462,15,,
30204,3,0,0,2675,155,17.25806452,17,,
30329,4,0,0,14566,256,56.8984375,57,,
30678,4,0,0,34325,698,49.17621777,49,,
30697,4,0,0,12980,276,47.02898551,47,,
31460,3,0,0,1559,218,7.151376147,7,,
31594,3,0,0,1756,324,5.419753086,5,,
31633,3,0,0,11327,466,24.30686695,24,,
31880,4,0,0,25645,507,50.58185404,51,,
32551,4,0,0,24987,382,65.41099476,65,,
